Unnamed: 0,abbreviation,abbreviation_for_term,archaic,attribute,body,definition,disease,domain,field,initialism,initialism_for_term,main_noun_maria,main_noun_nltk,mammal,matter,measure,misspelling,misspelling_for_term,obsolete,plural,plurality_of_term,pos,process,property,role,slang,synonym,synonym_for_term,term,units,vulgar
79,False,,False,False,True,Any member of the Iamidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,iamid,False,False
87,False,,False,False,True,Any member of the Iapygidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,iapygid,False,False
138,False,,False,False,True,Any member of the Ibaliidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,ibaliid,False,False
637,False,,False,False,True,Any member of the Icelidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,icelid,False,False
718,False,,False,False,True,Any member of the Ichneumonoidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,ichneumonoid,False,False
809,False,,False,False,True,Any member of the family Ichthyodectidae of extinct predatory fish principally of the Cretaceous.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,ichthyodectid,False,False
868,False,,False,False,True,Any member of the Ichthyophiidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,ichthyophiid,False,False
884,False,,False,False,True,Any member of the Ichthyornidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,ichthyornid,False,False
886,False,,False,False,True,Any member of the Ichthyornithidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,ichthyornithid,False,False
897,False,,False,False,True,Any member of the Ichthyosauridae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,ichthyosaurid,False,False
913,False,,False,False,True,Any member of the Ichthyostegidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,ichthyostegid,False,False
1138,False,,False,False,True,Any member of the Icosteidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,icosteid,False,False
1142,False,,False,False,True,Any member of the Ictaluridae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,ictalurid,False,False
1569,False,,False,False,True,Any member of the Idiacanthidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,idiacanthid,False,False
1693,False,,False,False,True,Any member of the Idiopidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,idiopid,False,False
1701,False,,False,False,True,Any member of the Idiosepiidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,idiosepiid,False,False
1939,False,,False,False,True,Any member of the Idoteidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,idoteid,False,False
2263,False,,False,False,True,Any member of the family Iguanodontidae of iguana-like dinosaurs.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,iguanodontid,False,False
2336,False,,False,False,True,Any member of the Ilariidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,ilariid,False,False
3025,False,,False,False,True,Any member of the Ilysiidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,ilysiid,False,False
3956,False,,False,False,True,Any member of the Immidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,immid,False,False
7576,False,,False,False,True,Any member of the Inachidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,inachid,False,False
9748,False,,False,False,True,Any member of the Incurvariidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,incurvariid,False,False
10456,False,,False,False,True,Any member of the Indicatoridae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,indicatorid,False,False
11127,False,,False,False,True,Any member of the Indostomidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,indostomid,False,False
11162,False,,False,False,True,Any member of the Indridae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,indrid,False,False
11170,False,,False,False,True,Any member of the Indriidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,indriid,False,False
11706,False,,False,False,True,Any member of the Inermiidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,inermiid,False,False
13785,False,,False,False,True,Any member of the Ingolfiellidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,ingolfiellid,False,False
14222,False,,False,False,True,"Any member of the Iniidae. 2015, Annalisa Berta, Marine Mammals: Evolutionary Biology[1], page 88:According to Cozzuol (1996), iniids (including fossil taxa) are characterized by an extremely elongated rostrum and mandible, very narrow supraoccipital, greatly reduced orbital region, and pneumatized maxillae forming a crest.",,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,iniid,False,False
15171,False,,False,False,True,Any member of the Inocelliidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,inocelliid,False,False
15173,False,,False,False,True,Any member of the Inoceramidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,inoceramid,False,False
17367,False,,False,False,True,Any member of the Intasuchidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,intasuchid,False,False
17976,False,,False,False,True,Any member of the Interatheriidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,interatheriid,False,False
25074,False,,False,False,True,Any member of the Iravadiidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,iravadiid,False,False
25096,False,,False,False,True,Any member of the Irenidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,irenid,False,False
25158,False,,False,False,True,Any member of the Iridinidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,iridinid,False,False
25231,False,,False,False,True,Any member of the Iridoviridae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,iridovirid,False,False
25547,False,,False,False,True,Any member of the Ironomyiidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,ironomyiid,False,False
26154,False,,False,False,True,Any member of the Isaeidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,isaeid,False,False
26242,False,,False,False,True,Any member of the Ischnochitonidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,ischnochitonid,False,False
26244,False,,False,False,True,Any member of the Ischnuridae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,ischnurid,False,False
26252,False,,False,False,True,Any member of the Ischyroceridae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,ischyrocerid,False,False
26295,False,,False,False,True,Any member of the Isididae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,isidid,False,False
26944,False,,False,False,True,"Any of the family Isognomonidae of marine bivalve mollusks, related to the pearl oysters.",,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,isognomonid,False,False
27524,False,,False,False,True,Any member of the infraorder Isoptera of termites.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,isopteran,False,False
27683,False,,False,False,True,Any member of the Isostictidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,isostictid,False,False
27723,False,,False,False,True,Any member of the family Isotemnidae of extinct ungulates.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,isotemnid,False,False
27775,False,,False,False,True,Any member of the Isotomidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,isotomid,False,False
27966,False,,False,False,True,Any member of the Issidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,issid,False,False
28036,False,,False,False,True,Any member of the Istiodactylidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,istiodactylid,False,False
28242,False,,False,False,True,a member of the Ithomiini tribe of butterflies.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,ithomiine,False,False
28412,False,,False,False,True,Any member of the Ixionidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,ixionid,False,False
28429,False,,False,False,True,Any member of the Ixodorhynchidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,ixodorhynchid,False,False
294,False,,False,False,True,"Any member of the Dactylogyridae, a family of flatworms.",,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,dactylogyrid,False,False
314,False,,False,False,True,Any member of the Dactylopteridae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,dactylopterid,False,False
450,False,,False,False,True,Any member of the Daesiidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,daesiid,False,False
763,False,,False,False,True,Any member of the Dairidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,dairid,False,False
850,False,,False,False,True,Any member of the family Dajidae of tiny ectoparasites of krill.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,dajid,False,False
909,False,,False,False,True,Any member of the shark family Dalatiidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,dalatiid,False,False
917,False,,False,False,True,Any member of the Dalceridae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,dalcerid,False,False
983,False,,False,False,True,Any member of the Dalmanitidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,dalmanitid,False,False
1146,False,,False,False,True,Any member of the Damesellidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,damesellid,False,False
1399,False,,False,False,True,Any member of the Danaidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,danaid,False,False
1569,False,,False,False,True,Any member of the Dandaridae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,dandarid,False,False
1953,False,,False,False,True,Any member of the Daraelitidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,daraelitid,False,False
2557,False,,False,False,True,Any member of the Dasyatidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,dasyatid,False,False
2569,False,,False,False,True,Any member of the Dasypodidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,dasypodid,False,False
2571,False,,False,False,True,Any member of the family Dasyproctidae of agoutis and acouchis.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,dasyproctid,False,False
2574,False,,False,False,True,Any member of the Dasytidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,dasytid,False,False
3032,False,,False,False,True,Any member of the Daubentoniidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,daubentoniid,False,False
3180,False,,False,False,True,Any member of the Davaineidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,davaineid,False,False
11378,False,,False,False,True,Any member of the Deinocheiridae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,deinocheirid,False,False
11389,False,,False,False,True,Any member of the Deinopidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,deinopid,False,False
12414,False,,False,False,True,Any member of the Delphinidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,delphinid,False,False
13441,False,,False,False,True,Any member of the Demodicidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,demodicid,False,False
14104,False,,False,False,True,Any member of the Dendrerpetontidae.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,dendrerpetontid,False,False
14151,False,,False,False,True,Any member of the family Dendrobatidae of poison dart frogs.,,zoology,,False,,,,,False,False,False,,False,False,,Noun,False,False,False,False,False,,dendrobatid,False,False
