Unnamed: 0,abbreviation,abbreviation_for_term,archaic,attribute,body,definition,domain,initialism,initialism_for_term,main_noun_maria,main_noun_nltk,matter,measure,misspelling,misspelling_for_term,obsolete,plural,plurality_of_term,pos,process,property,role,slang,synonym,synonym_for_term,term,units,vulgar
136,False,,False,False,False,A particular antiviral drug.,,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,ibacitabine,False,False
137,False,,False,False,False,A quinolone antibiotic drug used in veterinary medicine.,,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,ibafloxacin,False,False
142,False,,False,False,False,A bisphosphonate drug used in the prevention and treatment of osteoporosis.,,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,ibandronic acid,False,False
159,False,,False,False,False,A candidate drug for irritable bowel syndrome diarrhea.,,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,ibodutant,False,False
161,False,,False,False,False,"A naturally-occurring psychoactive compound found in a number of plants, principally iboga, and used for medicinal and ritual purposes in African spiritual traditions of the Bwiti.",biochemistry,False,,compound,compound,True,False,False,,False,False,,Noun,False,False,False,False,False,,ibogaine,False,False
173,False,,False,False,False,A sedative and hypnotic drug.,,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,ibrotamide,False,False
175,False,,False,False,False,An anti-inflammatory drug that acts as a phosphodiesterase inhibitor.,,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,ibudilast,False,False
179,False,,False,False,False,A nonsteroidal anti-inflammatory drug.,,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,ibuproxam,False,False
192,False,,False,False,False,A peptidomimetic drug used for the symptomatic treatment of acute attacks of hereditary angioedema.,,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,icatibant,False,False
200,False,,False,False,False,Any substance having the appearance of ice.,uncountable,False,,substance,substance,True,False,False,,False,False,,Noun,False,False,False,False,False,,ice,False,False
791,False,,False,False,False,A substance from the egg yolk of osseous fishes.,,False,,substance,substance,True,False,False,,False,False,,Noun,False,False,False,False,False,,ichthidin,False,False
792,False,,False,False,False,"A nitrogenous substance resembling vitellin, present in the egg yolk of cartilaginous fishes.",biochemistry,False,,substance,substance,True,False,False,,False,False,,Noun,False,False,False,False,False,,ichthin,False,False
793,False,,False,False,False,An albuminous substance found in fish eggs.,,False,,substance,substance,True,False,False,,False,False,,Noun,False,False,False,False,False,,ichthine,False,False
794,False,,False,False,False,A substance from the yolk of salmon roe.,organic chemistry,False,,substance,substance,True,False,False,,False,False,,Noun,False,False,False,False,False,,ichthulin,False,False
830,False,,False,False,False,"Any poisonous substance found in the blood of fishes. 1965, Bruce W. Halstead, Poisonous and Venomous Marine Animals of the World: Vertebrates:The 1904 article by Gley on the toxic action of the serum of the torpedo Torpedo marmorata was noteworthy in that the author reported ichthyohemotoxins were not limited to eels, but were widely distributed in fishes. 1995, Ji Davdek, Natural Toxic Compounds of Foods:Poisonings with ichthyohemotoxins are very rare because eel blood is perorally toxic only in large quantities. 2002, Lewis R. Goldfrank, Goldfrank's Toxicologic Emergencies, ISBN, page 1087:These same eels also possess an ichthyohemotoxin that is resistant to drying but can be destroyed by heating to greater than 65C (149F).",,False,,substance,substance,True,False,False,,False,False,,Noun,False,False,False,False,False,,ichthyohemotoxin,False,False
855,False,,False,False,False,"Any poisonous substance found in the roe or gonads of fish, but not in other parts of the fish. 1965, Bruce W. Halstead, Poisonous and Venomous Marine Animals of the World: Vertebrates:Asano and Itoh (1962) have investigated the chemical nature of this ichthyootoxin and found it to be a lipoprotein which they designated as dinogunellin. 1970, United States Dept. of Defense, Poisonous and Venomous Marine Animals of the World, page 810:Ichthyosarcotoxin may also be found in the roe of fishes, but it is found in other Parts of the fish as well, whereas ichthyootoxin is limited to the roe. 2001, Louis J. Casarett Curtis D. Klaassen, Casarett and Doull's Toxicology: The Basic Science of Poisons, ISBN:This type of poisoning involves a group of ichthyootoxins found in the roe and ovaries of carp, barbel, pike, sturgeons, gar, catfish, tench, bream, minnows, salmon, whitefish, trout, blenny, cabezon, and other freshwater and saltwater fish.",,False,,substance,substance,True,False,False,,False,False,,Noun,False,False,False,False,False,,ichthyootoxin,False,False
889,False,,False,False,False,"Any poisonous substance found in fish that is not limited to the roe or to the blood. 1970, United States Dept. of Defense, Poisonous and Venomous Marine Animals of the World, page 810:Ichthyosarcotoxin may also be found in the roe of fishes, but it is found in other Parts of the fish as well, whereas ichthyootoxin is limited to the roe. 1991, Farid E. Ahmed, Seafood Safety, page 100:The toxin involved is called tetrodotoxin and was originally believed to be a true ichthyosarcotoxin produced by the fish itself. 2012, David L. Spector, Dinoflagellates, ISBN, page 228:The other ichthyosarcotoxins that have been identified in ciguatoxic fish, scaritoxin and maitotoxin, lag behind ciguatoxin in physicochemical characterization.",,False,,substance,substance,True,False,False,,False,False,,Noun,False,False,False,False,False,,ichthyosarcotoxin,False,False
1137,False,,False,False,False,An antiemetic drug.,,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,icospiramide,False,False
1208,False,,False,False,False,A particular anthracycline drug used in chemotherapy.,,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,idarubicin,False,False
1211,False,,False,False,False,"A drug used in scientific research, acting as a selective 2 adrenergic receptor antagonist and as an antagonist for the imidazoline receptor.",,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,idazoxan,False,False
1335,False,,False,False,False,"A drug developed to treat Alzheimer's disease and other cognitive defects, but now being investigated for treatment of neuromuscular diseases.",,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,idebenone,False,False
1338,False,,False,False,False,A particular drug for the treatment of chronic lymphocytic leukemia.,,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,idelalisib,False,False
1601,False,,False,False,False,Any idioelectric substance.,,False,,substance,substance,True,False,False,,False,False,,Noun,False,False,False,False,False,,idioelectric,False,False
1942,False,,False,False,False,A particular antiviral drug used to combat herpesvirus.,,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,idoxuridine,False,False
1949,False,,False,False,False,A drug used as a topical cream to treat lumbago and other muscular pain.,,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,idrocilamide,False,False
1958,False,,False,False,False,A drug used to treat Hunter syndrome. It is a purified form of the lysosomal enzyme iduronate-2-sulfatase.,,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,idursulfase,False,False
2025,False,,False,False,False,A particular drug used in chemotherapy.,,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,ifosfamide,False,False
2456,False,,False,False,False,A thrombolytic drug.,,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,iliparcil,False,False
3018,False,,False,False,False,An atypical antipsychotic drug used to treat schizophrenia.,,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,iloperidone,False,False
3019,False,,False,False,False,"A drug used to treat pulmonary arterial hypertension, scleroderma, Raynaud's phenomenon and ischemia.",,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,iloprost,False,False
3031,False,,False,False,False,An antidepressant drug.,,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,imafen,False,False
3206,False,,False,False,False,An antilipidemic drug.,,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,imanixil,False,False
3215,False,,False,False,False,A drug used to treat certain types of cancer.,,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,imatinib,False,False
3222,False,,False,False,False,A cardiotonic drug.,,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,imazodan,False,False
3525,False,,False,False,False,A particular antiepileptic drug.,,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,imepitoin,False,False
3543,False,,False,False,False,An anxiolytic drug derived from the benzodiazepine family.,,False,,drug,drug,True,False,False,,False,False,,Noun,False,False,False,False,False,,imidazenil,False,False
3550,False,,False,False,False,"A heterocyclic organic compound containing two nitrogen atoms separated by a carbon atom in a five-membered ring, called 1,3-diazole in IUPAC nomenclature.",organic chemistry,False,,compound,compound,True,False,False,,False,False,,Noun,False,False,False,False,False,,imidazole,False,False
