Unnamed: 0,term,pos,definition,domain,plural,plurality_of_term,obsolete,archaic,abbreviation,abbreviation_for_term,slang,misspelling,misspelling_for_term,initialism,initialism_for_term,vulgar,synonym,synonym_for_term,attribute,property,process,matter,role,measure,units,body,main_noun_nltk,main_noun_maria,field,disease
908,ichthyosis,Noun,"A disease which gives the sufferer a dry, scaly skin. 1926, Arthur Conan Doyle, The Adventure of the Blanched Soldier, Norton 2005, p. 1506: A well-marked case of pseudo-leprosy or ichthyosis, a scale-like affection of the skin, unsightly, obstinate, but possibly curable, and certainly non-infective.",medicine,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
1684,idiopathy,Noun,"Something idiopathic; a disease having no known cause. 1970, D. V. Salcedo and M. G. Mujica ""A Study of Sterilized Women in the Urban Communities of the Western Area of Santiago, 1963-1966,"" The Journal of Sex Research, vol. 6, no. 1, p. 42, The sterilization that was first conceived as a recourse of limited medical reach came to be considered as an efficient eugenical procedure that could prevent descendents with hereditary and transmissible disorders, such as mental deficiency, epilepsy, idiopathies, etc.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
3174,imaginitis,Noun,"A notional disease characterised by a hyperactive imagination. 1937, Michael Terry, Sand and Sun Other dislodged stones, however, convinced us the boys had not suffered from imaginitis [] 1961, Margaret Elizabeth Mulac, Leisure: Time for Living and Retirement ""Just a case of galloping imaginitis! Would you suggest with this nonsense that we go back to peeling potatoes and cooking them over a coal stove?"" 2004, Jerome Kiely, Heat Not a Furnace (page 40) [T]wo of them look as healthy as mountain sheep, so they are suffering only from imaginitis but the third has trouble lowering herself down the steps so either she has very bad phlebitis or her womb is fallen.",humorous,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
5166,immunotherapeutic,Noun,A pharmaceutical that treats a disease via action on the immune system,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
5860,imperial disease,Noun,"A disease that arises from colonial exploration and causes significant harm to an empire, especially the British Empire. 1931, United Empire - Volume 22, page 112:He served with distinction in both the South African War and the Great War, and during the last eight years he was Director of the London School of Hygiene and Tropical Medicine, whose concern is with Imperial diseases, as he called them, as well as the more domestic. 1933, Great Britain Colonial Office, Colonial Reports - Annual - Issues 1613-1633, page 10:More insidious than malaria in its general manifestations, ankylostomiasis did not, at first, attract public attention, and it is feared that even now the leading classes do not quite realise its social and economical importance yet, reviewing the disease in Health Problems of the Empire, the late Sir Andrew Balfour writes: "" Ankylostomiasis is perhaps the Imperial disease par excellence, for even Malaria does not, day in and day out, produce such heavy economic loss "". 2008, Barnett Singer John Langdon, Cultured Force: Makers and Defenders of the French Colonial Empire, ISBN:One should not think that the French won any final victory over ""imperial diseases"" in this era. A variety of respiratory illnesses, yellow fever, dysentery, and above all, malaria still killed regularly.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
5862,imperial disease,Noun,"A communicable disease that is spread to indigenous people by conquering imperial forces. 1994, The Southern Historian - Volumes 15-16, page 158:Despite these and other strengths, however, the Iroquois became weakened throughout the seventeenth and into the early eighteenth centuries as they faced several ordeals: first came massive depopulation from imperial diseases; next, a slide into economic dependence on trade with Europeans; then ensnarement in the imperial struggles of powerful French and English colonial neighbors; finally, direct incursions on Iroquois territory and sovereignty (p. 2). 2013, Zeinab Abul-Magd, Imagined Empires: A History of Revolt in Egypt, ISBN, page 39:As Upper Egypt was now an integrated part of the empire's political and commercial system, Mamluk ships gained access to the southfacilitated by their wars on Upper Egyptian soiland they carried imperial diseases with them.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
8907,income,Noun,"A disease or ailment without known or apparent cause, as distinguished from one induced by accident or contagion; an oncome.","Britain dialectal, Scotland",False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
11425,industrial disease,Noun,"disease or disability caused by employment, such as repetitive acts or exposure to chemicals.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
12203,infectious bovine rhinotracheitis,Noun,A disease of the respiratory tract of cattle caused by the species Bovine herpesvirus 1.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
14429,injelititis,Noun,"A notional disease that damages an organization, causing its employees to become frustrated, unmotivated, and/or jealously competitive.",,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
17135,insult,Noun,"Something causing disease or injury to the body or bodily processes. 1996, Anne Dornhorst, David R. Hadden, Diabetes and Pregnancy The exact nature of the teratological insult in diabetic pregnancy, and the cell biological details of the induced disturbances, are not known. 2006, Stephen G. Lomber, Jos J. Eggermont, Reprogramming the Cerebral Cortex (page 415) [] most investigators agreed with the characterization of early brain plasticity as a transiently available, ancillary system that is triggered by neural insult [] 2011, Terence Allen and Graham Cowling, The Cell: A Very Short Introduction, Oxford 2011, p. 96: Within the complex genome of most organisms there are alternative multiple pathways of proteins which can help the individual cell survive a variety of insults, for example radiation, toxic chemicals, heat, excessive or reduced oxygen.",medicine,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
20138,interneuronopathy,Noun,Any disease caused by interneuronal dysfunction,pathology,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,disease,disease,False,True
