Unnamed: 0,term,pos,definition,domain,plural,plurality_of_term,obsolete,archaic,abbreviation,abbreviation_for_term,slang,misspelling,misspelling_for_term,initialism,initialism_for_term,vulgar,synonym,synonym_for_term,attribute,property,process,matter,role,measure,units,body,main_noun_nltk,main_noun_maria
106,iatrogenicity,Noun,The quality of being iatrogenic.,,False,,False,False,False,,False,False,,False,,False,False,,False,True,False,False,False,False,False,False,,
1081,iconotextuality,Noun,The quality of being iconotextual.,,False,,False,False,False,,False,False,,False,,False,False,,False,True,False,False,False,False,False,False,,
1268,idealism,Noun,The property of a person of having high ideals that are usually unrealizable or at odds with practical life.,,False,,False,False,False,,False,False,,False,,False,False,,False,True,False,False,False,False,False,False,,
1343,idempotence,Noun,A quality of an action such that repetitions of the action have no further effect on outcome being idempotent.,"mathematics, computing",False,,False,False,False,,False,False,,False,,False,False,,False,True,False,False,False,False,False,False,,
1384,identifiability,Noun,The quality of being identifiable.,uncountable,False,,False,False,False,,False,False,,False,,False,False,,False,True,False,False,False,False,False,False,,
1649,idiomaticity,Noun,The quality of being idiomatic.,,False,,False,False,False,,False,False,,False,,False,False,,False,True,False,False,False,False,False,False,,
1723,idiosyncraticity,Noun,"The quality of being idiosyncratic. 1994, Antonio Zampolli, Nicoletta Calzolari, Martha Palmer, Current Issues in Computational Linguistics: In Honour of Don Walker The trade-off between generality and idiosyncraticity is complicated by the possibility of the following compromise.",,False,,False,False,False,,False,False,,False,,False,False,,False,True,False,False,False,False,False,False,,
1883,idolatrousness,Noun,The quality of being idolatrous.,,False,,False,False,False,,False,False,,False,,False,False,,False,True,False,False,False,False,False,False,,
2164,ignorability,Noun,The quality of being ignorable.,,False,,False,False,False,,False,False,,False,,False,False,,False,True,False,False,False,False,False,False,,
2518,ill-formedness,Noun,The property of being ill-formed.,,False,,False,False,False,,False,False,,False,,False,False,,False,True,False,False,False,False,False,False,,
2673,illegalness,Noun,The quality of being illegal.,,False,,False,False,False,,False,False,,False,,False,False,,False,True,False,False,False,False,False,False,,
2696,illegitimateness,Noun,Quality of being illegitimate.,,False,,False,False,False,,False,False,,False,,False,False,,False,True,False,False,False,False,False,False,,
2762,illimitability,Noun,Quality of being illimitable.,,False,,False,False,False,,False,False,,False,,False,False,,False,True,False,False,False,False,False,False,,
2764,illimitableness,Noun,The quality of being illimitable; absence of limits.,,False,,False,False,False,,False,False,,False,,False,False,,False,True,False,False,False,False,False,False,,
2802,illiterateness,Noun,Quality of being illiterate.,,False,,False,False,False,,False,False,,False,,False,False,,False,True,False,False,False,False,False,False,,
2826,illogicalness,Noun,The quality of being illogical.,,False,,False,False,False,,False,False,,False,,False,False,,False,True,False,False,False,False,False,False,,
2951,illusiveness,Noun,The quality of being illusive; deceptiveness; false show.,,False,,False,False,False,,False,False,,False,,False,False,,False,True,False,False,False,False,False,False,,
2953,illusoriness,Noun,The quality of being illusory.,,False,,False,False,False,,False,False,,False,,False,False,,False,True,False,False,False,False,False,False,,
3065,imageability,Noun,A property of a word indicating how easily a person can form an associated mental image.,linguistics,False,,False,False,False,,False,False,,False,,False,False,,False,True,False,False,False,False,False,False,,
3100,imaginability,Noun,"The quality of being imaginable. 2008 January 11, Cain Samuel Todd, Imaginability, morality, and fictional truth: dissolving the puzzle of imaginative resistance, in Philosophical Studies, volume 143, number 2, DOI:10.1007/s11098-007-9198-5, pages 187-211:As suggested in the previous section, the relativity of imaginability to these factors is inevitably complex and messy and subject to degree and precludes any one right answer to what will be imaginable in any particular case.",,False,,False,False,False,,False,False,,False,,False,False,,False,True,False,False,False,False,False,False,,
